Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
28944186 - NIKE Mens Hypervenom Phatal FG Low Soccer Cleats,28944186,Cleats,0,4,1,0,69
29394476 - NIKE Mens CJ Strike 2 TD Mid Football Cleats,29394476,Cleats,3,4,1,0,14
30556646 - adidas Womens Predator LZ TRX FG Soccer Cleats,30556646,Cleats,1,0,0,0,48
30601626 - NIKE Mens Magista Orden FG Low Soccer Cleats,30601626,Cleats,0,2,1,1,1
30601636 - Nike Mens Magista Onda FG Low Soccer Cleats,30601636,Cleats,0,0,1,2,93
30601646 - NIKE Mens Mercurial Veloce II FG Low Soccer Cleats,30601646,Cleats,0,4,0,0,10
30601656 - NIKE Mens Mercurial Victory V FG Low Soccer Cleats,30601656,Cleats,0,2,1,0,253
30601676 - Nike Mens Lunar Vapor Trout Mid Baseball Cleats,30601676,Cleats,0,0,0,3,72
30876696 - NIKE Mens Magista OLA FG-R Low Soccer Cleats,30876696,Cleats,0,1,0,0,215
30922706 - NIKE Kids Jr. Magista OLA FG-R Low Soccer Cleats,30922706,Cleats,0,0,1,0,82
31033036 - NIKE Mens Tiempo Legend V FG Low Soccer Cleats,31033036,Cleats,0,1,0,0,1
31070426 - NIKE Womens Tiempo Rio II FG Low Soccer Cleats,31070426,Cleats,0,0,1,1,109
31070456 - NIKE Kids Jr. Mercurial Vortex II FG-R Soccer Cleats,31070456,Cleats,0,1,0,0,58
31070466 - Nike Mens Mercurial Vortex II FG Low Soccer Cleats,31070466,Cleats,0,0,0,1,71
31135486 - NIKE Mens Huarache Pro Low Metal Baseball Cleats,31135486,Cleats,1,0,0,0,22
32180416 - UNDER ARMOUR Mens Spine Metal Low Baseball Cleats,32180416,Cleats,0,0,1,0,4
32180426 - UNDER ARMOUR Mens Yard Mid Baseball Cleats,32180426,Cleats,0,1,0,0,11
33114806 - NIKE Mens Heritage Golf Shoes,33114806,Cleats,1,0,8,4,1
33114816 - NIKE Mens Lunar Control Golf Shoes,33114816,Cleats,1,1,0,0,20
33114836 - NIKE Mens Lunar Control II Golf Shoes,33114836,Cleats,15,26,23,13,2
33256976 - NIKE Mens TW 14 Golf Shoes,33256976,Cleats,16,26,13,16,14
34754426 - NIKE Womens Hyperdiamond Keystone Low Baseball Cleats,34754426,Cleats,0,0,0,2,118
34754446 - NIKE Mens Vapor Strike 2 MCS Low Baseball Cleats,34754446,Cleats,0,0,0,1,75
34754456 - Nike Mens Vapor Keystone 2 Low Baseball Cleats,34754456,Cleats,0,0,1,5,598
34779606 - Nike Boys Vapor Keystone Low 2 Baseball Cleats - Grade School,34779606,Cleats,0,0,0,1,771
34860726 - NIKE Mens MVP Strike 2 Metal Low Baseball Cleats,34860726,Cleats,3,0,0,1,36
34869336 - PUMA Mens evoSPEED 1.2 FG Soccer Cleats,34869336,Cleats,0,4,7,1,3
34869346 - PUMA Mens evoSPEED 1.2 L FG Soccer Cleats,34869346,Cleats,1,1,1,0,1
34869356 - PUMA Mens evoSPEED 3.2 FG Soccer Cleats,34869356,Cleats,0,0,2,0,2
34897106 - NIKE Womens Tiempo Genio FG Soccer Cleats,34897106,Cleats,1,2,0,0,11
34933496 - Under Armour Mens Deception Mid DT Baseball Cleats,34933496,Cleats,0,0,0,2,18
34933506 - Under Armour Mens Deception Low DT Baseball Cleats,34933506,Cleats,0,0,0,1,10
34933526 - Under Armour Mens Ignite Mid ST CC Baseball Cleats,34933526,Cleats,0,0,0,1,23
34933576 - Under Armour Mens Leadoff Mid RM Baseball Cleats,34933576,Cleats,0,0,0,1,146
34971946 - Under Armour Boys Leadoff Mid RM Jr Baseball Cleats,34971946,Cleats,1,0,0,1,228
34971986 - Under Armour Womens Glyde RM CC Softball Cleats,34971986,Cleats,0,0,0,3,108
35046986 - Nike Girls Hyperdiamond Keystone Low Softball Cleats - Grade School,35046986,Cleats,1,0,0,0,257
35763226 - Nike Mens Mercurial Vapor X CR7 FG Low Soccer Cleats,35763226,Cleats,0,0,0,1,3
38353476 - Under Armour Mens Banshee Mid MC Lacrosse Cleats,38353476,Cleats,0,0,0,1,1
40930516 - Nike Mens Huarache 4 LAX Turf LE Lacrosse Cleats,40930516,Cleats,0,0,0,1,10
41532536 - Nike Mens Zoom Superfly R4 Track Shoes,41532536,Cleats,0,0,1,0,1
42021746 - adidas Mens Messi 10.3 FG Low Soccer Cleats,42021746,Cleats,0,0,0,5,60
42451056 - Nike Womens Zoom Rival MD 7 Track Shoes,42451056,Cleats,2,0,0,0,36
